Log started on 2/3/2022
Connected to Server at 22:14:42
22:14:57:Device Configured
UID: Unknown_P1_S1
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
22:17:19:Time Elapsed (s):141 of 180
22:17:20:Time Elapsed (s):142 of 180
22:17:21:Time Elapsed (s):143 of 180
22:17:22:Time Elapsed (s):144 of 180
22:17:23:Time Elapsed (s):145 of 180
22:17:24:Time Elapsed (s):146 of 180
22:17:25:Time Elapsed (s):147 of 180
22:17:26:Time Elapsed (s):148 of 180
22:17:27:Time Elapsed (s):149 of 180
22:17:28:Time Elapsed (s):150 of 180
22:17:29:Time Elapsed (s):151 of 180
22:17:30:Time Elapsed (s):152 of 180
22:17:31:Time Elapsed (s):153 of 180
22:17:32:Time Elapsed (s):154 of 180
22:17:33:Time Elapsed (s):155 of 180
22:17:34:Time Elapsed (s):156 of 180
22:17:35:Time Elapsed (s):157 of 180
22:17:36:Time Elapsed (s):158 of 180
22:17:37:Time Elapsed (s):159 of 180
22:17:38:Time Elapsed (s):160 of 180
22:17:39:Time Elapsed (s):161 of 180
22:17:40:Time Elapsed (s):162 of 180
22:17:41:Time Elapsed (s):163 of 180
22:17:42:Time Elapsed (s):164 of 180
22:17:43:Time Elapsed (s):165 of 180
22:17:44:Time Elapsed (s):166 of 180
22:17:45:Time Elapsed (s):167 of 180
22:17:46:Time Elapsed (s):168 of 180
22:17:47:Time Elapsed (s):169 of 180
22:17:48:Time Elapsed (s):170 of 180
22:17:49:Time Elapsed (s):171 of 180
22:17:50:Time Elapsed (s):172 of 180
22:17:51:Time Elapsed (s):173 of 180
22:17:52:Time Elapsed (s):174 of 180
22:17:53:Time Elapsed (s):175 of 180
22:17:54:Time Elapsed (s):176 of 180
22:17:55:Time Elapsed (s):177 of 180
22:17:56:Time Elapsed (s):178 of 180
22:17:57:Time Elapsed (s):179 of 180
22:17:58:Time Elapsed (s):180 of 180
22:17:59:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
