Log started on 2/3/2022
Connected to Server at 23:32:1
23:36:17:Device Configured
UID: PAEC_P2_S1
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
23:38:34:Time Elapsed (s):136 of 180
23:38:35:Time Elapsed (s):137 of 180
23:38:36:Time Elapsed (s):138 of 180
23:38:37:Time Elapsed (s):139 of 180
23:38:38:Time Elapsed (s):140 of 180
23:38:39:Time Elapsed (s):141 of 180
23:38:40:Time Elapsed (s):142 of 180
23:38:41:Time Elapsed (s):143 of 180
23:38:42:Time Elapsed (s):144 of 180
23:38:43:Time Elapsed (s):145 of 180
23:38:44:Time Elapsed (s):146 of 180
23:38:45:Time Elapsed (s):147 of 180
23:38:46:Time Elapsed (s):148 of 180
23:38:47:Time Elapsed (s):149 of 180
23:38:48:Time Elapsed (s):150 of 180
23:38:49:Time Elapsed (s):151 of 180
23:38:50:Time Elapsed (s):152 of 180
23:38:51:Time Elapsed (s):153 of 180
23:38:52:Time Elapsed (s):154 of 180
23:38:53:Time Elapsed (s):155 of 180
23:38:54:Time Elapsed (s):156 of 180
23:38:55:Time Elapsed (s):157 of 180
23:38:56:Time Elapsed (s):158 of 180
23:38:57:Time Elapsed (s):159 of 180
23:38:58:Time Elapsed (s):160 of 180
23:38:59:Time Elapsed (s):161 of 180
23:39:0:Time Elapsed (s):162 of 180
23:39:1:Time Elapsed (s):163 of 180
23:39:2:Time Elapsed (s):164 of 180
23:39:3:Time Elapsed (s):165 of 180
23:39:4:Time Elapsed (s):166 of 180
23:39:5:Time Elapsed (s):167 of 180
23:39:6:Time Elapsed (s):168 of 180
23:39:7:Time Elapsed (s):169 of 180
23:39:8:Time Elapsed (s):170 of 180
23:39:9:Time Elapsed (s):171 of 180
23:39:10:Time Elapsed (s):172 of 180
23:39:11:Time Elapsed (s):173 of 180
23:39:12:Time Elapsed (s):174 of 180
23:39:13:Time Elapsed (s):175 of 180
23:39:14:Time Elapsed (s):176 of 180
23:39:15:Time Elapsed (s):177 of 180
23:39:16:Time Elapsed (s):178 of 180
23:39:17:Time Elapsed (s):179 of 180
23:39:18:Time Elapsed (s):180 of 180
23:39:18:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
