Log started on 2/3/2022
Connected to Server at 22:14:42
22:33:5:Device Configured
UID: PAKPEC_P1_S1
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
22:35:23:Time Elapsed (s):136 of 180
22:35:24:Time Elapsed (s):137 of 180
22:35:25:Time Elapsed (s):138 of 180
22:35:26:Time Elapsed (s):139 of 180
22:35:27:Time Elapsed (s):140 of 180
22:35:28:Time Elapsed (s):141 of 180
22:35:29:Time Elapsed (s):142 of 180
22:35:30:Time Elapsed (s):143 of 180
22:35:31:Time Elapsed (s):144 of 180
22:35:32:Time Elapsed (s):145 of 180
22:35:33:Time Elapsed (s):146 of 180
22:35:34:Time Elapsed (s):147 of 180
22:35:35:Time Elapsed (s):148 of 180
22:35:36:Time Elapsed (s):149 of 180
22:35:37:Time Elapsed (s):150 of 180
22:35:38:Time Elapsed (s):151 of 180
22:35:39:Time Elapsed (s):152 of 180
22:35:40:Time Elapsed (s):153 of 180
22:35:41:Time Elapsed (s):154 of 180
22:35:42:Time Elapsed (s):155 of 180
22:35:43:Time Elapsed (s):156 of 180
22:35:44:Time Elapsed (s):157 of 180
22:35:45:Time Elapsed (s):158 of 180
22:35:46:Time Elapsed (s):159 of 180
22:35:47:Time Elapsed (s):160 of 180
22:35:48:Time Elapsed (s):161 of 180
22:35:49:Time Elapsed (s):162 of 180
22:35:50:Time Elapsed (s):163 of 180
22:35:51:Time Elapsed (s):164 of 180
22:35:52:Time Elapsed (s):165 of 180
22:35:53:Time Elapsed (s):166 of 180
22:35:54:Time Elapsed (s):167 of 180
22:35:55:Time Elapsed (s):168 of 180
22:35:56:Time Elapsed (s):169 of 180
22:35:57:Time Elapsed (s):170 of 180
22:35:58:Time Elapsed (s):171 of 180
22:35:59:Time Elapsed (s):172 of 180
22:36:0:Time Elapsed (s):173 of 180
22:36:1:Time Elapsed (s):174 of 180
22:36:2:Time Elapsed (s):175 of 180
22:36:3:Time Elapsed (s):176 of 180
22:36:4:Time Elapsed (s):177 of 180
22:36:5:Time Elapsed (s):178 of 180
22:36:6:Time Elapsed (s):179 of 180
22:36:7:Time Elapsed (s):180 of 180
22:36:7:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
