Log started on 2/3/2022
Connected to Server at 22:57:52
23:12:27:Device Configured
UID: SAKPEC_P2_S1
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
23:13:42:Time Elapsed (s):74 of 180
23:13:43:Time Elapsed (s):75 of 180
23:13:44:Time Elapsed (s):76 of 180
23:13:45:Time Elapsed (s):77 of 180
23:13:46:Time Elapsed (s):78 of 180
23:13:47:Time Elapsed (s):79 of 180
23:13:48:Time Elapsed (s):80 of 180
23:13:49:Time Elapsed (s):81 of 180
23:13:50:Time Elapsed (s):82 of 180
23:13:51:Time Elapsed (s):83 of 180
23:13:52:Time Elapsed (s):84 of 180
23:13:53:Time Elapsed (s):85 of 180
23:13:54:Time Elapsed (s):86 of 180
23:13:55:Time Elapsed (s):87 of 180
23:13:56:Time Elapsed (s):88 of 180
23:13:57:Time Elapsed (s):89 of 180
23:13:58:Time Elapsed (s):90 of 180
23:13:59:Time Elapsed (s):91 of 180
23:14:0:Time Elapsed (s):92 of 180
23:14:1:Time Elapsed (s):93 of 180
23:14:2:Time Elapsed (s):94 of 180
23:14:3:Time Elapsed (s):95 of 180
23:14:4:Time Elapsed (s):96 of 180
23:14:5:Time Elapsed (s):97 of 180
23:14:6:Time Elapsed (s):98 of 180
23:14:7:Time Elapsed (s):99 of 180
23:14:8:Time Elapsed (s):100 of 180
23:14:9:Time Elapsed (s):101 of 180
23:14:10:Time Elapsed (s):102 of 180
23:14:11:Time Elapsed (s):103 of 180
23:14:12:Time Elapsed (s):104 of 180
23:14:13:Time Elapsed (s):105 of 180
23:14:14:Time Elapsed (s):106 of 180
23:14:15:Time Elapsed (s):107 of 180
23:14:16:Time Elapsed (s):108 of 180
23:14:17:Time Elapsed (s):109 of 180
23:14:18:Time Elapsed (s):110 of 180
23:14:19:Time Elapsed (s):111 of 180
23:14:20:Time Elapsed (s):112 of 180
23:14:21:Time Elapsed (s):113 of 180
23:14:22:Time Elapsed (s):114 of 180
