Log started on 2/4/2022
Connected to Server at 0:36:45
1:26:5:Device Configured
UID: ECKPSAPA_P1_S2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
1:28:43:Time Elapsed (s):157 of 180
1:28:44:Time Elapsed (s):158 of 180
1:28:45:Time Elapsed (s):159 of 180
1:28:46:Time Elapsed (s):160 of 180
1:28:47:Time Elapsed (s):161 of 180
1:28:48:Time Elapsed (s):162 of 180
1:28:49:Time Elapsed (s):163 of 180
1:28:50:Time Elapsed (s):164 of 180
1:28:51:Time Elapsed (s):165 of 180
1:28:52:Time Elapsed (s):166 of 180
1:28:53:Time Elapsed (s):167 of 180
1:28:54:Time Elapsed (s):168 of 180
1:28:55:Time Elapsed (s):169 of 180
1:28:56:Time Elapsed (s):170 of 180
1:28:57:Time Elapsed (s):171 of 180
1:28:58:Time Elapsed (s):172 of 180
1:28:59:Time Elapsed (s):173 of 180
1:29:0:Time Elapsed (s):174 of 180
1:29:1:Time Elapsed (s):175 of 180
1:29:2:Time Elapsed (s):176 of 180
1:29:3:Time Elapsed (s):177 of 180
1:29:4:Time Elapsed (s):178 of 180
1:29:5:Time Elapsed (s):179 of 180
1:29:6:Time Elapsed (s):180 of 180
1:29:6:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
