Log started on 2/3/2022
Connected to Server at 16:45:39
17:18:49:Device Configured
UID: SAEC_P2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
17:21:34:Time Elapsed (s):164 of 180
17:21:35:Time Elapsed (s):165 of 180
17:21:36:Time Elapsed (s):166 of 180
17:21:37:Time Elapsed (s):167 of 180
17:21:38:Time Elapsed (s):168 of 180
17:21:39:Time Elapsed (s):169 of 180
17:21:40:Time Elapsed (s):170 of 180
17:21:41:Time Elapsed (s):171 of 180
17:21:42:Time Elapsed (s):172 of 180
17:21:43:Time Elapsed (s):173 of 180
17:21:44:Time Elapsed (s):174 of 180
17:21:45:Time Elapsed (s):175 of 180
17:21:46:Time Elapsed (s):176 of 180
17:21:47:Time Elapsed (s):177 of 180
17:21:48:Time Elapsed (s):178 of 180
17:21:49:Time Elapsed (s):179 of 180
17:21:50:Time Elapsed (s):180 of 180
17:21:50:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
