Log started on 2/4/2022
Connected to Server at 0:36:45
0:58:22:Device Configured
UID: PA_P1_S2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
1:0:40:Time Elapsed (s):137 of 180
1:0:41:Time Elapsed (s):138 of 180
1:0:42:Time Elapsed (s):139 of 180
1:0:43:Time Elapsed (s):140 of 180
1:0:44:Time Elapsed (s):141 of 180
1:0:45:Time Elapsed (s):142 of 180
1:0:46:Time Elapsed (s):143 of 180
1:0:47:Time Elapsed (s):144 of 180
1:0:48:Time Elapsed (s):145 of 180
1:0:49:Time Elapsed (s):146 of 180
1:0:50:Time Elapsed (s):147 of 180
1:0:51:Time Elapsed (s):148 of 180
1:0:52:Time Elapsed (s):149 of 180
1:0:53:Time Elapsed (s):150 of 180
1:0:54:Time Elapsed (s):151 of 180
1:0:55:Time Elapsed (s):152 of 180
1:0:56:Time Elapsed (s):153 of 180
1:0:57:Time Elapsed (s):154 of 180
1:0:58:Time Elapsed (s):155 of 180
1:0:59:Time Elapsed (s):156 of 180
1:1:0:Time Elapsed (s):157 of 180
1:1:1:Time Elapsed (s):158 of 180
1:1:2:Time Elapsed (s):159 of 180
1:1:3:Time Elapsed (s):160 of 180
1:1:4:Time Elapsed (s):161 of 180
1:1:5:Time Elapsed (s):162 of 180
1:1:6:Time Elapsed (s):163 of 180
1:1:7:Time Elapsed (s):164 of 180
1:1:8:Time Elapsed (s):165 of 180
1:1:9:Time Elapsed (s):166 of 180
1:1:10:Time Elapsed (s):167 of 180
1:1:11:Time Elapsed (s):168 of 180
1:1:12:Time Elapsed (s):169 of 180
1:1:13:Time Elapsed (s):170 of 180
1:1:14:Time Elapsed (s):171 of 180
1:1:15:Time Elapsed (s):172 of 180
1:1:16:Time Elapsed (s):173 of 180
1:1:17:Time Elapsed (s):174 of 180
1:1:18:Time Elapsed (s):175 of 180
1:1:19:Time Elapsed (s):176 of 180
1:1:20:Time Elapsed (s):177 of 180
1:1:21:Time Elapsed (s):178 of 180
1:1:22:Time Elapsed (s):179 of 180
1:1:23:Time Elapsed (s):180 of 180
1:1:23:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
