Log started on 2/4/2022
Connected to Server at 23:32:1
0:4:38:Device Configured
UID: SA_P2_S2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
0:5:17:Time Elapsed (s):38 of 180
0:5:18:Time Elapsed (s):39 of 180
0:5:19:Time Elapsed (s):40 of 180
0:5:20:Time Elapsed (s):41 of 180
0:5:21:Time Elapsed (s):42 of 180
0:5:22:Time Elapsed (s):43 of 180
0:5:23:Time Elapsed (s):44 of 180
0:5:24:Time Elapsed (s):45 of 180
0:5:25:Time Elapsed (s):46 of 180
0:5:26:Time Elapsed (s):47 of 180
0:5:27:Time Elapsed (s):48 of 180
0:5:28:Time Elapsed (s):49 of 180
0:5:29:Time Elapsed (s):50 of 180
0:5:30:Time Elapsed (s):51 of 180
0:5:31:Time Elapsed (s):52 of 180
0:5:32:Time Elapsed (s):53 of 180
0:5:33:Time Elapsed (s):54 of 180
0:5:34:Time Elapsed (s):55 of 180
0:5:35:Time Elapsed (s):56 of 180
0:5:36:Time Elapsed (s):57 of 180
0:5:37:Time Elapsed (s):58 of 180
0:5:38:Time Elapsed (s):59 of 180
0:5:39:Time Elapsed (s):60 of 180
0:5:40:Time Elapsed (s):61 of 180
0:5:41:Time Elapsed (s):62 of 180
0:5:42:Time Elapsed (s):63 of 180
0:5:43:Time Elapsed (s):64 of 180
0:5:44:Time Elapsed (s):65 of 180
0:5:45:Time Elapsed (s):66 of 180
0:5:46:Time Elapsed (s):67 of 180
0:5:47:Time Elapsed (s):68 of 180
0:5:48:Time Elapsed (s):69 of 180
0:5:49:Time Elapsed (s):70 of 180
0:5:50:Time Elapsed (s):71 of 180
0:5:51:Time Elapsed (s):72 of 180
0:5:52:Time Elapsed (s):73 of 180
0:5:53:Time Elapsed (s):74 of 180
0:5:54:Time Elapsed (s):75 of 180
0:5:55:Time Elapsed (s):76 of 180
0:5:56:Time Elapsed (s):77 of 180
0:5:57:Time Elapsed (s):78 of 180
0:5:58:Time Elapsed (s):79 of 180
0:5:59:Time Elapsed (s):80 of 180
0:6:0:Time Elapsed (s):81 of 180
0:6:1:Time Elapsed (s):82 of 180
0:6:2:Time Elapsed (s):83 of 180
0:6:3:Time Elapsed (s):84 of 180
0:6:4:Time Elapsed (s):85 of 180
0:6:5:Time Elapsed (s):86 of 180
0:6:6:Time Elapsed (s):87 of 180
0:6:7:Time Elapsed (s):88 of 180
0:6:8:Time Elapsed (s):89 of 180
0:6:9:Time Elapsed (s):90 of 180
0:6:10:Time Elapsed (s):91 of 180
0:6:11:Time Elapsed (s):92 of 180
0:6:12:Time Elapsed (s):93 of 180
0:6:13:Time Elapsed (s):94 of 180
0:6:14:Time Elapsed (s):95 of 180
0:6:15:Time Elapsed (s):96 of 180
0:6:16:Time Elapsed (s):97 of 180
0:6:17:Time Elapsed (s):98 of 180
0:6:18:Time Elapsed (s):99 of 180
0:6:19:Time Elapsed (s):100 of 180
