Log started on 2/3/2022
Connected to Server at 16:45:39
17:8:47:Device Configured
UID: SAKP_P2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
17:11:5:Time Elapsed (s):137 of 180
17:11:6:Time Elapsed (s):138 of 180
17:11:7:Time Elapsed (s):139 of 180
17:11:8:Time Elapsed (s):140 of 180
17:11:9:Time Elapsed (s):141 of 180
17:11:10:Time Elapsed (s):142 of 180
17:11:11:Time Elapsed (s):143 of 180
17:11:12:Time Elapsed (s):144 of 180
17:11:13:Time Elapsed (s):145 of 180
17:11:14:Time Elapsed (s):146 of 180
17:11:15:Time Elapsed (s):147 of 180
17:11:16:Time Elapsed (s):148 of 180
17:11:17:Time Elapsed (s):149 of 180
17:11:18:Time Elapsed (s):150 of 180
17:11:19:Time Elapsed (s):151 of 180
17:11:20:Time Elapsed (s):152 of 180
17:11:21:Time Elapsed (s):153 of 180
17:11:22:Time Elapsed (s):154 of 180
17:11:23:Time Elapsed (s):155 of 180
17:11:24:Time Elapsed (s):156 of 180
17:11:25:Time Elapsed (s):157 of 180
17:11:26:Time Elapsed (s):158 of 180
17:11:27:Time Elapsed (s):159 of 180
17:11:28:Time Elapsed (s):160 of 180
17:11:29:Time Elapsed (s):161 of 180
17:11:30:Time Elapsed (s):162 of 180
17:11:31:Time Elapsed (s):163 of 180
17:11:32:Time Elapsed (s):164 of 180
17:11:33:Time Elapsed (s):165 of 180
17:11:34:Time Elapsed (s):166 of 180
17:11:35:Time Elapsed (s):167 of 180
17:11:36:Time Elapsed (s):168 of 180
17:11:37:Time Elapsed (s):169 of 180
17:11:38:Time Elapsed (s):170 of 180
17:11:39:Time Elapsed (s):171 of 180
17:11:40:Time Elapsed (s):172 of 180
17:11:41:Time Elapsed (s):173 of 180
17:11:42:Time Elapsed (s):174 of 180
17:11:43:Time Elapsed (s):175 of 180
17:11:44:Time Elapsed (s):176 of 180
17:11:45:Time Elapsed (s):177 of 180
17:11:46:Time Elapsed (s):178 of 180
17:11:47:Time Elapsed (s):179 of 180
17:11:48:Time Elapsed (s):180 of 180
17:11:48:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
