Samples,Xpos,Ypos,Pow,NebMode
69,6.4331190447252915,-5.939390708687965,4.850737752198695,0
70,6.422911725755924,-5.924103956510151,4.83544221725197,0
71,6.412704406786549,-5.913912788391608,4.8252451939541565,0
72,6.4076007473018635,-5.913912788391608,4.8252451939541565,0
73,6.402497087817174,-5.903721620273065,4.81504817065634,0
74,6.397393428332489,-5.898626036213795,4.81504817065634,0
75,6.4076007473018635,-5.903721620273065,4.82014668230525,0
76,6.402497087817174,-5.898626036213795,4.81504817065634,0
77,6.4076007473018635,-5.908817204332337,4.82014668230525,0
78,6.4076007473018635,-5.908817204332337,4.82014668230525,0
79,6.412704406786549,-5.913912788391608,4.8252451939541565,0
80,6.422911725755924,-5.929199540569422,4.83544221725197,0
81,6.428015385240606,-5.929199540569422,4.840540728900882,0
82,6.4331190447252915,-5.944486292747236,4.845639240549788,0
83,6.428015385240606,-5.944486292747236,4.845639240549788,0
84,6.422911725755924,-5.924103956510151,4.840540728900882,0
85,6.4076007473018635,-5.908817204332337,4.8252451939541565,0
86,6.4076007473018635,-5.908817204332337,4.82014668230525,0
87,6.402497087817174,-5.903721620273065,4.82014668230525,0
88,6.402497087817174,-5.898626036213795,4.81504817065634,0
89,6.4076007473018635,-5.908817204332337,4.82014668230525,0
90,6.402497087817174,-5.903721620273065,4.82014668230525,0
91,6.402497087817174,-5.898626036213795,4.81504817065634,0
92,6.397393428332489,-5.893530452154523,4.809949659007433,0
93,6.392289768847803,-5.888434868095251,4.809949659007433,0
94,6.397393428332489,-5.893530452154523,4.809949659007433,0
95,6.392289768847803,-5.893530452154523,4.809949659007433,0
96,6.392289768847803,-5.893530452154523,4.809949659007433,0
97,6.392289768847803,-5.888434868095251,4.8048511473585265,0
98,6.392289768847803,-5.888434868095251,4.8048511473585265,0
99,6.397393428332489,-5.888434868095251,4.809949659007433,0
100,6.392289768847803,-5.888434868095251,4.8048511473585265,0
101,6.402497087817174,-5.898626036213795,4.81504817065634,0
102,6.4076007473018635,-5.908817204332337,4.82014668230525,0
103,6.417808066271235,-5.919008372450879,4.830343705603063,0
104,6.422911725755924,-5.924103956510151,4.83544221725197,0
105,6.4076007473018635,-5.913912788391608,4.8252451939541565,0
106,6.428015385240606,-5.929199540569422,4.840540728900882,0
107,6.428015385240606,-5.929199540569422,4.840540728900882,0
108,6.4331190447252915,-5.944486292747236,4.845639240549788,0
109,6.484155639572151,-6.0056333014584915,4.90682138033668,0
110,6.484155639572151,-6.0056333014584915,4.90682138033668,0
111,6.489259299056833,-6.0107288855177625,4.90682138033668,0
112,6.489259299056833,-6.0158244695770335,4.911919891985592,0
113,6.489259299056833,-6.0107288855177625,4.911919891985592,0
114,6.484155639572151,-6.0056333014584915,4.90682138033668,0
115,6.489259299056833,-6.0107288855177625,4.911919891985592,0
116,6.489259299056833,-6.0158244695770335,4.917018403634499,0
117,6.535192234419007,-6.127927318881001,4.957806496825761,0
118,6.504570277510894,-6.046397973932661,4.937412450230131,0
119,6.545399553388378,-6.112640566703188,4.973102031772484,0
120,6.530088574934322,-6.0616847261104745,4.947609473527947,0
121,6.484155639572151,-6.0107288855177625,4.911919891985592,0
122,6.494362958541519,-6.0158244695770335,4.911919891985592,0
123,6.494362958541519,-6.0158244695770335,4.917018403634499,0
124,6.489259299056833,-6.0056333014584915,4.911919891985592,0
125,6.509673936995579,-6.0413023898733895,4.927215426932317,0
126,6.504570277510894,-6.0616847261104745,4.932313938581224,0
127,6.489259299056833,-6.0158244695770335,4.911919891985592,0
128,6.489259299056833,-6.0056333014584915,4.90682138033668,0
129,6.489259299056833,-6.0056333014584915,4.90682138033668,0
130,6.484155639572151,-6.0056333014584915,4.90682138033668,0
131,6.484155639572151,-6.00053771739922,4.90682138033668,0
132,6.484155639572151,-6.0056333014584915,4.90682138033668,0
133,6.494362958541519,-6.0413023898733895,4.9221169152834054,0
134,6.499466618026204,-6.026015637695576,4.927215426932317,0
135,6.499466618026204,-6.026015637695576,4.917018403634499,0
136,6.499466618026204,-6.020920053636305,4.9221169152834054,0
137,6.484155639572151,-6.0056333014584915,4.901722868687774,0
138,6.47394832060278,-5.995442133339949,4.896624357038867,0
139,6.4790519800874655,-6.00053771739922,4.901722868687774,0
140,6.484155639572151,-6.0056333014584915,4.90682138033668,0
141,6.484155639572151,-6.0056333014584915,4.90682138033668,0
142,6.489259299056833,-6.0107288855177625,4.90682138033668,0
143,6.489259299056833,-6.0107288855177625,4.90682138033668,0
144,6.494362958541519,-6.020920053636305,4.917018403634499,0
145,6.47394832060278,-5.990346549280678,4.896624357038867,0
146,6.489259299056833,-6.0056333014584915,4.90682138033668,0
147,6.484155639572151,-6.0107288855177625,4.90682138033668,0
148,6.428015385240606,-5.934295124628693,4.840540728900882,0
149,6.422911725755924,-5.929199540569422,4.83544221725197,0
150,6.412704406786549,-5.919008372450879,4.830343705603063,0
151,6.4076007473018635,-5.908817204332337,4.8252451939541565,0
152,6.4076007473018635,-5.903721620273065,4.82014668230525,0
153,6.402497087817174,-5.903721620273065,4.82014668230525,0
154,6.392289768847803,-5.888434868095251,4.809949659007433,0
155,6.397393428332489,-5.898626036213795,4.81504817065634,0
156,6.4076007473018635,-5.913912788391608,4.8252451939541565,0
157,6.417808066271235,-5.924103956510151,4.83544221725197,0
158,6.422911725755924,-5.929199540569422,4.840540728900882,0
159,6.422911725755924,-5.929199540569422,4.83544221725197,0
160,6.422911725755924,-5.924103956510151,4.83544221725197,0
161,6.412704406786549,-5.908817204332337,4.8252451939541565,0
162,6.402497087817174,-5.903721620273065,4.81504817065634,0
163,6.402497087817174,-5.898626036213795,4.82014668230525,0
164,6.4076007473018635,-5.913912788391608,4.8252451939541565,0
165,6.417808066271235,-5.919008372450879,4.83544221725197,0
166,6.402497087817174,-5.898626036213795,4.81504817065634,0
167,6.387186109363121,-5.888434868095251,4.8048511473585265,0
168,6.387186109363121,-5.883339284035981,4.8048511473585265,0
169,6.392289768847803,-5.888434868095251,4.8048511473585265,0
170,6.402497087817174,-5.903721620273065,4.81504817065634,0
171,6.417808066271235,-5.919008372450879,4.830343705603063,0
172,6.422911725755924,-5.929199540569422,4.83544221725197,0
173,6.412704406786549,-5.913912788391608,4.8252451939541565,0
174,6.402497087817174,-5.893530452154523,4.81504817065634,0
175,6.387186109363121,-5.883339284035981,4.799752635709616,0
176,6.397393428332489,-5.888434868095251,4.8048511473585265,0
177,6.392289768847803,-5.888434868095251,4.8048511473585265,0
178,6.397393428332489,-5.893530452154523,4.809949659007433,0
179,6.387186109363121,-5.883339284035981,4.8048511473585265,0
180,6.387186109363121,-5.883339284035981,4.799752635709616,0
181,6.392289768847803,-5.893530452154523,4.8048511473585265,0
182,6.402497087817174,-5.903721620273065,4.81504817065634,0
183,6.397393428332489,-5.898626036213795,4.809949659007433,0
184,6.387186109363121,-5.888434868095251,4.799752635709616,0
185,6.392289768847803,-5.888434868095251,4.799752635709616,0
186,6.387186109363121,-5.888434868095251,4.8048511473585265,0
187,6.392289768847803,-5.893530452154523,4.809949659007433,0
188,6.392289768847803,-5.888434868095251,4.8048511473585265,0
189,6.387186109363121,-5.888434868095251,4.8048511473585265,0
190,6.392289768847803,-5.888434868095251,4.8048511473585265,0
191,6.397393428332489,-5.893530452154523,4.809949659007433,0
192,6.392289768847803,-5.893530452154523,4.8048511473585265,0
193,6.392289768847803,-5.888434868095251,4.8048511473585265,0
194,6.387186109363121,-5.888434868095251,4.8048511473585265,0
195,6.392289768847803,-5.893530452154523,4.809949659007433,0
196,6.397393428332489,-5.903721620273065,4.81504817065634,0
197,6.392289768847803,-5.888434868095251,4.8048511473585265,0
198,6.382082449878435,-5.878243699976709,4.79465412406071,0
199,6.387186109363121,-5.888434868095251,4.799752635709616,0
200,6.392289768847803,-5.893530452154523,4.8048511473585265,0
201,6.397393428332489,-5.898626036213795,4.809949659007433,0
202,6.392289768847803,-5.888434868095251,4.8048511473585265,0
203,6.392289768847803,-5.883339284035981,4.8048511473585265,0
204,6.387186109363121,-5.888434868095251,4.8048511473585265,0
205,6.392289768847803,-5.888434868095251,4.8048511473585265,0
206,6.392289768847803,-5.888434868095251,4.8048511473585265,0
207,6.382082449878435,-5.883339284035981,4.799752635709616,0
208,6.392289768847803,-5.893530452154523,4.8048511473585265,0
209,6.4076007473018635,-5.903721620273065,4.82014668230525,0
210,6.402497087817174,-5.903721620273065,4.81504817065634,0
211,6.397393428332489,-5.898626036213795,4.809949659007433,0
212,6.392289768847803,-5.893530452154523,4.8048511473585265,0
213,6.387186109363121,-5.888434868095251,4.8048511473585265,0
214,6.392289768847803,-5.888434868095251,4.809949659007433,0
215,6.387186109363121,-5.888434868095251,4.8048511473585265,0
216,6.397393428332489,-5.898626036213795,4.809949659007433,0
217,6.412704406786549,-5.919008372450879,4.8252451939541565,0
218,6.422911725755924,-5.929199540569422,4.83544221725197,0
219,6.428015385240606,-5.934295124628693,4.845639240549788,0
220,6.4331190447252915,-5.939390708687965,4.845639240549788,0
221,6.417808066271235,-5.924103956510151,4.830343705603063,0
222,6.412704406786549,-5.913912788391608,4.8252451939541565,0
223,6.397393428332489,-5.898626036213795,4.8048511473585265,0
224,6.397393428332489,-5.898626036213795,4.809949659007433,0
225,6.4076007473018635,-5.908817204332337,4.82014668230525,0
226,6.412704406786549,-5.913912788391608,4.830343705603063,0
227,6.438222704209977,-5.954677460865778,4.855836263847607,0
228,6.4586373421487195,-5.964868628984321,4.86603328714542,0
229,6.514777596480265,-6.071875894229017,4.937412450230131,0
230,6.514777596480265,-6.0514935579919324,4.937412450230131,0
231,6.47394832060278,-6.0158244695770335,4.90682138033668,0
232,6.422911725755924,-5.924103956510151,4.83544221725197,0
233,6.422911725755924,-5.924103956510151,4.83544221725197,0
234,6.4076007473018635,-5.908817204332337,4.82014668230525,0
235,6.397393428332489,-5.898626036213795,4.809949659007433,0
236,6.412704406786549,-5.919008372450879,4.830343705603063,0
237,6.417808066271235,-5.924103956510151,4.830343705603063,0
238,6.4331190447252915,-5.939390708687965,4.845639240549788,0
239,6.428015385240606,-5.934295124628693,4.840540728900882,0
