Samples,Xpos,Ypos,Pow,NebMode
95,6.887344738862325,-6.474427034911448,5.29940677730259,0
96,6.744442273291128,-6.331750681251853,5.161746962782079,0
97,6.234076324822546,-5.847670195621081,4.733471984273816,0
98,6.8975520578317,-6.47952261897072,5.3096038006004065,0
99,6.892448398347014,-6.47952261897072,5.3045052889515,0
100,6.576021510296496,-6.229839000066427,5.064875241452826,0
101,6.877137419892957,-6.464235866792906,5.289209754004776,0
102,6.892448398347014,-6.474427034911448,5.29940677730259,0
103,6.244283643791917,-5.84257461156181,4.738570495922723,0
104,6.887344738862325,-6.474427034911448,5.29940677730259,0
105,6.698509337928954,-6.301177176896225,5.126057381239724,0
106,6.637265424112723,-6.229839000066427,5.085269288048458,0
107,6.234076324822546,-5.837479027502539,4.733471984273816,0
108,6.8618264414389,-6.464235866792906,5.2841112423558645,0
109,6.887344738862325,-6.474427034911448,5.29940677730259,0
110,6.8975520578317,-6.48461820302999,5.3096038006004065,0
111,6.8975520578317,-6.47952261897072,5.3045052889515,0
112,6.892448398347014,-6.47952261897072,5.3045052889515,0
113,6.882241079377639,-6.459140282733635,5.294308265653683,0
114,6.234076324822546,-5.84257461156181,4.733471984273816,0
115,6.724027635352382,-6.341941849370396,5.177042497728799,0
116,6.724027635352382,-6.336846265311124,5.156648451133169,0
117,6.882241079377639,-6.469331450852177,5.29940677730259,0
118,6.234076324822546,-5.832383443443268,4.728373472624906,0
119,6.8005825276226695,-6.367419769666752,5.207633567622247,0
120,6.8720337604082715,-6.454044698674363,5.289209754004776,0
121,6.8975520578317,-6.48461820302999,5.3096038006004065,0
122,6.902655717316385,-6.48461820302999,5.3096038006004065,0
123,6.4535336826640375,-6.204361079770071,4.988397566719209,0
124,6.907759376801074,-6.494809371148534,5.314702312249313,0
125,6.244283643791917,-5.852765779680353,4.743669007571629,0
126,6.892448398347014,-6.48461820302999,5.3045052889515,0
127,6.208558027399114,-5.812001107206182,4.713077937678186,0
128,6.8618264414389,-6.464235866792906,5.2841112423558645,0
129,6.218765346368489,-5.817096691265454,4.713077937678186,0
130,6.672991040505526,-6.321559513133311,5.13115589288863,0
131,6.2034543679144285,-5.812001107206182,4.707979426029274,0
132,6.810789846592044,-6.4234711943187355,5.243323149164603,0
133,6.198350708429743,-5.80180993908764,4.702880914380367,0
134,6.877137419892957,-6.469331450852177,5.294308265653683,0
135,6.213661686883803,-5.817096691265454,4.713077937678186,0
136,6.892448398347014,-6.474427034911448,5.3045052889515,0
137,6.244283643791917,-5.847670195621081,4.738570495922723,0
138,6.8975520578317,-6.48461820302999,5.314702312249313,0
139,6.259594622245977,-5.893530452154523,4.753866030869446,0
140,6.907759376801074,-6.489713787089262,5.314702312249313,0
141,6.239179984307231,-5.84257461156181,4.733471984273816,0
142,6.8720337604082715,-6.459140282733635,5.2841112423558645,0
143,6.902655717316385,-6.48461820302999,5.314702312249313,0
144,6.8005825276226695,-6.4183756102594645,5.233126125866789,0
145,6.8618264414389,-6.454044698674363,5.2841112423558645,0
146,6.902655717316385,-6.48461820302999,5.3096038006004065,0
147,6.912863036285756,-6.494809371148534,5.31980082389822,0
148,6.907759376801074,-6.494809371148534,5.31980082389822,0
149,6.907759376801074,-6.494809371148534,5.31980082389822,0
150,6.902655717316385,-6.489713787089262,5.314702312249313,0
151,6.902655717316385,-6.48461820302999,5.3096038006004065,0
152,6.8975520578317,-6.47952261897072,5.3096038006004065,0
153,6.795478868137984,-6.35722860154821,5.207633567622247,0
154,6.5964361482352345,-6.245125752244241,5.054678218155013,0
155,6.882241079377639,-6.474427034911448,5.29940677730259,0
156,6.902655717316385,-6.489713787089262,5.314702312249313,0
157,6.912863036285756,-6.494809371148534,5.31980082389822,0
158,6.907759376801074,-6.489713787089262,5.31980082389822,0
159,6.8975520578317,-6.48461820302999,5.314702312249313,0
160,6.902655717316385,-6.48461820302999,5.3096038006004065,0
161,6.902655717316385,-6.48461820302999,5.314702312249313,0
162,6.8975520578317,-6.48461820302999,5.3096038006004065,0
163,6.902655717316385,-6.489713787089262,5.314702312249313,0
164,6.8975520578317,-6.47952261897072,5.3096038006004065,0
165,6.887344738862325,-6.469331450852177,5.29940677730259,0
166,6.831204484530783,-6.4234711943187355,5.248421660813509,0
167,6.856722781954211,-6.438757946496549,5.273914219058051,0
168,6.351460492970318,-5.954677460865778,4.840540728900882,0
169,6.2493873032766025,-5.84257461156181,4.743669007571629,0
170,6.887344738862325,-6.474427034911448,5.29940677730259,0
171,6.8005825276226695,-6.377610937785294,5.217830590920066,0
172,6.310631217092833,-5.883339284035981,4.784457100762896,0
173,6.775064230199241,-6.3878021059038375,5.212732079271154,0
174,6.8720337604082715,-6.459140282733635,5.289209754004776,0
175,6.795478868137984,-6.367419769666752,5.207633567622247,0
176,6.218765346368489,-5.822192275324724,4.713077937678186,0
177,6.8720337604082715,-6.464235866792906,5.289209754004776,0
178,6.616850786173984,-6.204361079770071,5.054678218155013,0
179,6.713820316383014,-6.306272760955496,5.1464514278353555,0
180,6.218765346368489,-5.817096691265454,4.718176449327093,0
181,6.218765346368489,-5.822192275324724,4.718176449327093,0
182,6.8618264414389,-6.44385353055582,5.279012730706958,0
183,6.882241079377639,-6.464235866792906,5.294308265653683,0
184,6.877137419892957,-6.469331450852177,5.294308265653683,0
185,6.76485691122987,-6.367419769666752,5.197436544324434,0
186,6.509673936995579,-6.1635964072959,4.978200543421391,0
187,6.402497087817174,-6.0158244695770335,4.8609347754965135,0
188,6.37697879039375,-5.985250965221406,4.840540728900882,0
189,6.371875130909061,-5.990346549280678,4.845639240549788,0
190,6.356564152455007,-5.969964213043592,4.8252451939541565,0
191,6.346356833485633,-5.964868628984321,4.81504817065634,0
192,6.361667811939689,-5.964868628984321,4.82014668230525,0
193,6.366771471424375,-5.980155381162135,4.83544221725197,0
194,6.366771471424375,-5.980155381162135,4.830343705603063,0
195,6.366771471424375,-5.975059797102864,4.83544221725197,0
196,6.351460492970318,-5.95977304492505,4.81504817065634,0
197,6.37697879039375,-6.0107288855177625,4.855836263847607,0
198,6.66788738102084,-6.290986008777683,5.1107618462929985,0
199,6.882241079377639,-6.469331450852177,5.294308265653683,0
200,6.8720337604082715,-6.454044698674363,5.2841112423558645,0
201,6.274905600700031,-5.873148115917438,4.764063054167259,0
202,6.208558027399114,-5.812001107206182,4.707979426029274,0
203,6.2289726653378565,-5.832383443443268,4.723274960975999,0
204,6.698509337928954,-6.290986008777683,5.13115589288863,0
205,6.519881255964954,-6.102449398584645,4.962905008474667,0
206,6.468844661118091,-6.066780310169746,4.9221169152834054,0
207,6.524984915449636,-6.12283173482173,4.973102031772484,0
208,6.509673936995579,-6.12283173482173,4.9680035201235775,0
209,6.484155639572151,-6.08206706234756,4.937412450230131,0
210,6.4586373421487195,-6.071875894229017,4.911919891985592,0
211,6.57091785081181,-6.158500823236629,5.008791613314841,0
212,6.417808066271235,-6.0311112217548475,4.911919891985592,0
213,6.218765346368489,-5.817096691265454,4.718176449327093,0
214,6.218765346368489,-5.822192275324724,4.718176449327093,0
215,6.856722781954211,-6.44385353055582,5.273914219058051,0
216,6.887344738862325,-6.469331450852177,5.29940677730259,0
217,6.371875130909061,-5.975059797102864,4.83544221725197,0
218,6.4586373421487195,-6.08206706234756,4.927215426932317,0
219,6.300423898123459,-5.883339284035981,4.774260077465078,0
220,6.218765346368489,-5.817096691265454,4.718176449327093,0
221,6.213661686883803,-5.817096691265454,4.713077937678186,0
222,6.208558027399114,-5.812001107206182,4.707979426029274,0
223,6.2034543679144285,-5.806905523146911,4.707979426029274,0
224,6.208558027399114,-5.817096691265454,4.713077937678186,0
225,6.244283643791917,-5.847670195621081,4.738570495922723,0
226,6.856722781954211,-6.44385353055582,5.273914219058051,0
227,6.877137419892957,-6.459140282733635,5.289209754004776,0
228,6.397393428332489,-6.0056333014584915,4.8609347754965135,0
229,6.2238690058531745,-5.827287859383996,4.723274960975999,0
230,6.877137419892957,-6.459140282733635,5.289209754004776,0
231,6.366771471424375,-5.980155381162135,4.840540728900882,0
232,6.2238690058531745,-5.827287859383996,4.723274960975999,0
233,6.759753251745181,-6.306272760955496,5.1668454744309855,0
234,6.234076324822546,-5.832383443443268,4.728373472624906,0
235,6.8618264414389,-6.433662362437278,5.268815707409145,0
236,6.2493873032766025,-5.847670195621081,4.743669007571629,0
237,6.887344738862325,-6.469331450852177,5.29940677730259,0
238,6.274905600700031,-5.862956947798895,4.758964542518353,0
239,6.8618264414389,-6.433662362437278,5.263717195760233,0
240,6.254490962761288,-5.857861363739624,4.748767519220539,0
241,6.831204484530783,-6.4030888580816505,5.238224637515696,0
242,6.234076324822546,-5.84257461156181,4.733471984273816,0
243,6.785271549168609,-6.35722860154821,5.192338032675522,0
244,6.254490962761288,-5.857861363739624,4.748767519220539,0
245,6.892448398347014,-6.474427034911448,5.29940677730259,0
246,6.76485691122987,-6.362324185607481,5.187239521026616,0
247,6.2289726653378565,-5.84257461156181,4.733471984273816,0
248,6.882241079377639,-6.464235866792906,5.294308265653683,0
249,6.647472743082098,-6.240030168184969,5.080170776399552,0
250,6.76485691122987,-6.372515353726023,5.197436544324434,0
251,6.2493873032766025,-5.847670195621081,4.743669007571629,0
252,6.244283643791917,-5.847670195621081,4.738570495922723,0
253,6.295320238638773,-5.913912788391608,4.784457100762896,0
254,6.514777596480265,-6.0565891420512035,4.973102031772484,0
255,6.325942195546887,-5.929199540569422,4.809949659007433,0
256,6.239179984307231,-5.84257461156181,4.738570495922723,0
257,6.239179984307231,-5.84257461156181,4.738570495922723,0
258,6.790375208653295,-6.377610937785294,5.212732079271154,0
259,6.637265424112723,-6.240030168184969,5.064875241452826,0
260,6.887344738862325,-6.469331450852177,5.29940677730259,0
261,6.239179984307231,-5.84257461156181,4.733471984273816,0
262,6.703612997413639,-6.301177176896225,5.136254404537537,0
263,6.8975520578317,-6.47952261897072,5.3045052889515,0
264,6.417808066271235,-6.117736150762459,4.911919891985592,0
265,6.866930100923586,-6.459140282733635,5.2841112423558645,0
266,6.269801941215345,-5.862956947798895,4.753866030869446,0
267,6.790375208653295,-6.377610937785294,5.212732079271154,0
268,6.412704406786549,-5.969964213043592,4.871131798794327,0
269,6.621954445658666,-6.240030168184969,5.075072264750645,0
270,6.892448398347014,-6.47952261897072,5.3045052889515,0
271,6.315734876577519,-5.898626036213795,4.79465412406071,0
272,6.637265424112723,-6.245125752244241,5.075072264750645,0
273,6.902655717316385,-6.489713787089262,5.3096038006004065,0
274,6.331045855031576,-5.924103956510151,4.81504817065634,0
275,6.6423690835974085,-6.234934584125699,5.075072264750645,0
276,6.519881255964954,-6.102449398584645,4.957806496825761,0
277,6.836308144015469,-6.433662362437278,5.253520172462419,0
278,6.902655717316385,-6.47952261897072,5.3096038006004065,0
279,6.239179984307231,-5.84257461156181,4.733471984273816,0
280,6.836308144015469,-6.413280026200193,5.238224637515696,0
281,6.504570277510894,-6.138118486999544,4.957806496825761,0
282,6.887344738862325,-6.474427034911448,5.29940677730259,0
283,6.877137419892957,-6.469331450852177,5.294308265653683,0
284,6.2289726653378565,-5.832383443443268,4.723274960975999,0
285,6.8465154629848435,-6.433662362437278,5.263717195760233,0
286,6.382082449878435,-6.0056333014584915,4.845639240549788,0
287,6.892448398347014,-6.47952261897072,5.3045052889515,0
288,6.2238690058531745,-5.822192275324724,4.718176449327093,0
289,6.540295893903693,-6.127927318881001,4.988397566719209,0
290,6.8975520578317,-6.47952261897072,5.3096038006004065,0
291,6.218765346368489,-5.817096691265454,4.718176449327093,0
292,6.713820316383014,-6.296081592836954,5.136254404537537,0
293,6.718923975867696,-6.316463929074039,5.1464514278353555,0
294,6.882241079377639,-6.469331450852177,5.294308265653683,0
295,6.218765346368489,-5.822192275324724,4.718176449327093,0
296,6.785271549168609,-6.367419769666752,5.217830590920066,0
297,6.519881255964954,-6.117736150762459,4.962905008474667,0
298,6.877137419892957,-6.464235866792906,5.289209754004776,0
299,6.892448398347014,-6.474427034911448,5.3045052889515,0
300,6.8516191224695255,-6.4234711943187355,5.268815707409145,0
301,6.2238690058531745,-5.822192275324724,4.718176449327093,0
302,6.218765346368489,-5.817096691265454,4.718176449327093,0
303,6.234076324822546,-5.837479027502539,4.728373472624906,0
304,6.4790519800874655,-6.076971478288289,4.962905008474667,0
305,6.780167889683927,-6.321559513133311,5.182141009377709,0
306,6.74954593277581,-6.377610937785294,5.202535055973341,0
307,6.627058105143352,-6.178883159473714,5.049579706506101,0
