Log started on 2/4/2022
Connected to Server at 0:36:45
1:11:47:Device Configured
UID: KP_P2_S2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
1:13:26:Time Elapsed (s):98 of 180
1:13:27:Time Elapsed (s):99 of 180
1:13:28:Time Elapsed (s):100 of 180
1:13:29:Time Elapsed (s):101 of 180
1:13:30:Time Elapsed (s):102 of 180
1:13:31:Time Elapsed (s):103 of 180
1:13:32:Time Elapsed (s):104 of 180
1:13:33:Time Elapsed (s):105 of 180
1:13:34:Time Elapsed (s):106 of 180
1:13:35:Time Elapsed (s):107 of 180
1:13:36:Time Elapsed (s):108 of 180
1:13:37:Time Elapsed (s):109 of 180
1:13:38:Time Elapsed (s):110 of 180
1:13:39:Time Elapsed (s):111 of 180
1:13:40:Time Elapsed (s):112 of 180
1:13:41:Time Elapsed (s):113 of 180
1:13:42:Time Elapsed (s):114 of 180
1:13:43:Time Elapsed (s):115 of 180
1:13:44:Time Elapsed (s):116 of 180
1:13:45:Time Elapsed (s):117 of 180
1:13:47:Time Elapsed (s):118 of 180
1:13:47:Time Elapsed (s):119 of 180
1:13:48:Time Elapsed (s):120 of 180
1:13:49:Time Elapsed (s):121 of 180
1:13:50:Time Elapsed (s):122 of 180
1:13:51:Time Elapsed (s):123 of 180
1:13:52:Time Elapsed (s):124 of 180
1:13:53:Time Elapsed (s):125 of 180
1:13:54:Time Elapsed (s):126 of 180
1:13:55:Time Elapsed (s):127 of 180
1:13:56:Time Elapsed (s):128 of 180
1:13:57:Time Elapsed (s):129 of 180
1:13:58:Time Elapsed (s):130 of 180
1:13:59:Time Elapsed (s):131 of 180
1:14:0:Time Elapsed (s):132 of 180
1:14:1:Time Elapsed (s):133 of 180
1:14:3:Time Elapsed (s):134 of 180
1:14:3:Time Elapsed (s):135 of 180
1:14:4:Time Elapsed (s):136 of 180
1:14:6:Time Elapsed (s):137 of 180
1:14:6:Time Elapsed (s):138 of 180
1:14:7:Time Elapsed (s):139 of 180
1:14:8:Time Elapsed (s):140 of 180
1:14:9:Time Elapsed (s):141 of 180
1:14:10:Time Elapsed (s):142 of 180
1:14:11:Time Elapsed (s):143 of 180
1:14:12:Time Elapsed (s):144 of 180
1:14:13:Time Elapsed (s):145 of 180
1:14:14:Time Elapsed (s):146 of 180
1:14:16:Time Elapsed (s):147 of 180
1:14:16:Time Elapsed (s):148 of 180
