Log started on 2/3/2022
17:5:23:Time Elapsed (s):53 of 180
17:5:24:Time Elapsed (s):54 of 180
17:5:25:Time Elapsed (s):55 of 180
17:5:26:Time Elapsed (s):56 of 180
17:5:27:Time Elapsed (s):57 of 180
17:5:28:Time Elapsed (s):58 of 180
17:5:29:Time Elapsed (s):59 of 180
17:5:30:Time Elapsed (s):60 of 180
17:5:31:Time Elapsed (s):61 of 180
17:5:32:Time Elapsed (s):62 of 180
17:5:33:Time Elapsed (s):63 of 180
17:5:34:Time Elapsed (s):64 of 180
17:5:35:Time Elapsed (s):65 of 180
17:5:36:Time Elapsed (s):66 of 180
17:5:37:Time Elapsed (s):67 of 180
17:5:38:Time Elapsed (s):68 of 180
17:5:39:Time Elapsed (s):69 of 180
17:5:40:Time Elapsed (s):70 of 180
17:5:41:Time Elapsed (s):71 of 180
17:5:42:Time Elapsed (s):72 of 180
17:5:43:Time Elapsed (s):73 of 180
17:5:44:Time Elapsed (s):74 of 180
17:5:45:Time Elapsed (s):75 of 180
17:5:46:Time Elapsed (s):76 of 180
17:5:47:Time Elapsed (s):77 of 180
17:5:48:Time Elapsed (s):78 of 180
17:5:49:Time Elapsed (s):79 of 180
17:5:50:Time Elapsed (s):80 of 180
17:5:51:Time Elapsed (s):81 of 180
17:5:52:Time Elapsed (s):82 of 180
17:5:53:Time Elapsed (s):83 of 180
17:5:54:Time Elapsed (s):84 of 180
17:5:55:Time Elapsed (s):85 of 180
17:5:56:Time Elapsed (s):86 of 180
17:5:57:Time Elapsed (s):87 of 180
17:5:58:Time Elapsed (s):88 of 180
17:5:59:Time Elapsed (s):89 of 180
17:6:0:Time Elapsed (s):90 of 180
17:6:1:Time Elapsed (s):91 of 180
17:6:2:Time Elapsed (s):92 of 180
17:6:3:Time Elapsed (s):93 of 180
17:6:4:Time Elapsed (s):94 of 180
17:6:5:Time Elapsed (s):95 of 180
17:6:6:Time Elapsed (s):96 of 180
17:6:7:Time Elapsed (s):97 of 180
17:6:8:Time Elapsed (s):98 of 180
17:6:9:Time Elapsed (s):99 of 180
17:6:10:Time Elapsed (s):100 of 180
17:6:11:Time Elapsed (s):101 of 180
17:6:12:Time Elapsed (s):102 of 180
17:6:13:Time Elapsed (s):103 of 180
17:6:14:Time Elapsed (s):104 of 180
17:6:15:Time Elapsed (s):105 of 180
17:6:16:Time Elapsed (s):106 of 180
17:6:17:Time Elapsed (s):107 of 180
17:6:18:Time Elapsed (s):108 of 180
17:6:19:Time Elapsed (s):109 of 180
17:6:20:Time Elapsed (s):110 of 180
17:6:21:Time Elapsed (s):111 of 180
17:6:22:Time Elapsed (s):112 of 180
17:6:23:Time Elapsed (s):113 of 180
17:6:24:Time Elapsed (s):114 of 180
17:6:25:Time Elapsed (s):115 of 180
17:6:26:Time Elapsed (s):116 of 180
17:6:27:Time Elapsed (s):117 of 180
17:6:28:Time Elapsed (s):118 of 180
17:6:29:Time Elapsed (s):119 of 180
17:6:30:Time Elapsed (s):120 of 180
17:6:31:Time Elapsed (s):121 of 180
17:6:32:Time Elapsed (s):122 of 180
17:6:33:Time Elapsed (s):123 of 180
17:6:34:Time Elapsed (s):124 of 180
17:6:35:Time Elapsed (s):125 of 180
17:6:36:Time Elapsed (s):126 of 180
17:6:37:Time Elapsed (s):127 of 180
17:6:38:Time Elapsed (s):128 of 180
17:6:39:Time Elapsed (s):129 of 180
17:6:40:Time Elapsed (s):130 of 180
17:6:41:Time Elapsed (s):131 of 180
17:6:42:Time Elapsed (s):132 of 180
17:6:43:Time Elapsed (s):133 of 180
17:6:44:Time Elapsed (s):134 of 180
17:6:45:Time Elapsed (s):135 of 180
17:6:46:Time Elapsed (s):136 of 180
17:6:47:Time Elapsed (s):137 of 180
17:6:48:Time Elapsed (s):138 of 180
17:6:49:Time Elapsed (s):139 of 180
17:6:50:Time Elapsed (s):140 of 180
17:6:51:Time Elapsed (s):141 of 180
17:6:52:Time Elapsed (s):142 of 180
17:6:53:Time Elapsed (s):143 of 180
17:6:54:Time Elapsed (s):144 of 180
17:6:55:Time Elapsed (s):145 of 180
17:6:56:Time Elapsed (s):146 of 180
17:6:57:Time Elapsed (s):147 of 180
17:6:58:Time Elapsed (s):148 of 180
17:6:59:Time Elapsed (s):149 of 180
17:7:0:Time Elapsed (s):150 of 180
17:7:1:Time Elapsed (s):151 of 180
17:7:2:Time Elapsed (s):152 of 180
17:7:3:Time Elapsed (s):153 of 180
17:7:4:Time Elapsed (s):154 of 180
17:7:5:Time Elapsed (s):155 of 180
17:7:6:Time Elapsed (s):156 of 180
17:7:7:Time Elapsed (s):157 of 180
17:7:8:Time Elapsed (s):158 of 180
17:7:9:Time Elapsed (s):159 of 180
17:7:10:Time Elapsed (s):160 of 180
17:7:11:Time Elapsed (s):161 of 180
17:7:12:Time Elapsed (s):162 of 180
17:7:13:Time Elapsed (s):163 of 180
17:7:14:Time Elapsed (s):164 of 180
17:7:15:Time Elapsed (s):165 of 180
17:7:16:Time Elapsed (s):166 of 180
17:7:17:Time Elapsed (s):167 of 180
17:7:18:Time Elapsed (s):168 of 180
17:7:19:Time Elapsed (s):169 of 180
17:7:20:Time Elapsed (s):170 of 180
17:7:21:Time Elapsed (s):171 of 180
17:7:22:Time Elapsed (s):172 of 180
17:7:23:Time Elapsed (s):173 of 180
17:7:24:Time Elapsed (s):174 of 180
17:7:25:Time Elapsed (s):175 of 180
17:7:26:Time Elapsed (s):176 of 180
17:7:27:Time Elapsed (s):177 of 180
17:7:28:Time Elapsed (s):178 of 180
17:7:29:Time Elapsed (s):179 of 180
17:7:30:Time Elapsed (s):180 of 180
17:7:30:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
